Request,nDCG@R
DR-T1-r1,0.5598
DR-T1-r2,0.3341
DR-T1-r4,0.4280
DR-T1-r5,0.3352
DR-T2-r1,0.4300
DR-T2-r2,0.6583
DR-T2-r3,0.2834
DR-T2-r4,0.0000
DR-T2-r5,0.0000
DR-T3-r1,0.3398
DR-T3-r2,0.4759
DR-T3-r3,0.4944
DR-T3-r4,0.3443
DR-T3-r5,0.3516
DR-T3-r6,0.3958
DR-T4-r1,0.7676
DR-T4-r2,0.6943
DR-T4-r3,0.6028
DR-T4-r4,0.6621
DR-T4-r5,0.5448
DR-T4-r6,0.6864
DR-T4-r7,0.7032
DR-T5-r1,0.8916
DR-T5-r2,0.8829
DR-T5-r3,0.6540
DR-T5-r4,0.7637
DR-T5-r5,0.6757
DR-T5-r6,0.6643
DR-T6-r1,0.3118
DR-T6-r2,0.2711
DR-T6-r3,0.4008
DR-T6-r4,0.5635
DR-T7-r1,0.3804
DR-T7-r2,0.2915
DR-T7-r3,0.4795
TOTAL,0.4949,
